Trip_ID,Segment,30_min_prediction,60_min_prediction
14010000631165780,4.0,2.6123228,7.074376
14010000631165780,5.0,2.5240538,6.865913
14010000631165780,5.0,2.488722,6.801348
14010000631165780,5.0,2.4816694,6.9190145
14010000631165780,5.0,2.477513,7.006562
14010000631165780,6.0,2.520358,7.1252193
14010000631165780,6.0,2.5582633,7.1809664
14010000631165780,6.0,2.6219165,7.2894073
14010000631165780,1.0,2.5769954,7.3393154
14010000631165780,2.0,2.5563147,7.430792
14010000631165780,2.0,2.5882244,7.5831847
14010000631165780,3.0,2.656854,7.860772
14010000631165780,3.0,2.7432246,8.056706
14010000631165780,4.0,2.728531,7.997448
14010000631165780,4.0,2.7738004,7.968186
14010000631165780,5.0,2.779847,7.847397
14010000631165780,5.0,2.722101,7.6381717
14010000631165780,5.0,2.6748285,7.486981
14010000631165780,5.0,2.5940685,7.2720647
14010000631165780,6.0,2.5988286,7.25776
14010000631165780,6.0,2.5924025,7.1566787
14010000631165780,1.0,2.5906024,7.0718446
14010000631165780,1.0,2.5203903,7.1435833
14010000631165780,2.0,2.5198019,7.33234
14010000631165780,4.0,2.511181,7.4718547
14010000631165780,5.0,2.6270857,7.690287
14010000631165780,5.0,2.795647,7.892677
14010000631165780,5.0,2.730503,7.6483846
14010000631165780,5.0,2.688887,7.4822
14010000631165780,6.0,2.5635104,7.199428
14010000631165780,6.0,2.5664625,7.207675
14010000631165870,3.0,2.5767882,7.331671
14010000631165870,3.0,2.5913575,7.2921143
14010000631165870,3.0,2.63687,7.4563174
14010000631165870,1.0,2.6324604,7.517571
14010000631165870,2.0,2.617045,7.5182867
14010000631165870,3.0,2.6255317,7.489616
14010000631165870,3.0,2.7342463,7.7212925
14010000631165870,3.0,2.6516705,7.6131506
14010000631165870,3.0,2.6461687,7.6617155
14010000631165870,1.0,2.6379714,7.7932687
14010000631165870,2.0,2.7353616,7.9446473
14010000631165870,2.0,2.7722719,7.8029585
14010000631165870,3.0,2.798455,7.634323
14010000631165870,3.0,2.757225,7.42489
14010000631165870,3.0,2.5422628,7.0070214
14010000631165934,5.0,2.6178107,7.6496496
14010000631165934,5.0,2.7411733,7.864558
14010000631165934,6.0,2.7842243,7.89678
14010000631165934,6.0,2.6813285,7.624312
14010000631165934,3.0,2.6452994,7.5923038
14010000631165934,3.0,2.6610954,7.5751724
14010000631165934,4.0,2.6456356,7.415174
14010000631165934,4.0,2.6416798,7.458911
14010000631165934,4.0,2.6215065,7.3781667
14010000631165934,5.0,2.5512245,7.4402223
14010000631165934,5.0,2.5946755,7.6219816
14010000631165934,5.0,2.7150059,7.830958
14010000631165934,5.0,2.7122629,7.7050924
14010000631165934,5.0,2.8676405,7.9002295
14010000631165934,5.0,2.6311762,7.3854017
14010000631165934,6.0,2.613935,7.412658
14010000631165934,6.0,2.5615845,7.3630266
14010000631165934,6.0,2.604429,7.451872
14010000631165934,1.0,2.6457949,7.437955
14010000631165934,2.0,2.6819422,7.285928
14010000631165934,3.0,2.5778227,7.0925574
14010000631165934,3.0,2.4674067,7.0860033
14010000631165934,4.0,2.4566813,7.287571
14010000631165934,4.0,2.527432,7.497489
14010000631165934,5.0,2.7738185,8.004737
14010000631165934,5.0,2.81566,8.009308
14010000631165934,6.0,2.7526872,7.75548
14010000631165946,2.0,2.6048791,7.3896294
14010000631165946,2.0,2.6091845,7.3721037
14010000631165946,2.0,2.7095358,7.5377455
14010000631165946,3.0,2.5038235,7.05881
14010000631166154,2.0,2.6096964,7.746034
14010000631166154,3.0,2.6386,7.8142715
14010000631166154,1.0,2.7081285,7.862099
14010000631166154,1.0,2.804469,7.971513
14010000631166154,2.0,2.7242427,7.800145
14010000631166154,3.0,2.6835449,7.6683846
14010000631166154,4.0,2.6226745,7.540129
14010000632661382,2.0,3.4194634,10.140636
14010000632661382,5.0,3.4168515,10.097653
14010000632661382,5.0,3.3844893,10.013093
14010000632661382,7.0,3.3485372,9.8986845
14010000632661382,6.0,3.3080928,9.761603
14010000632661382,6.0,3.2109277,9.571553
14010000632661382,6.0,3.2024531,9.42218
14010000632661382,8.0,3.1567163,9.308645
14010000632661382,8.0,3.1071506,9.13455
14010000632661382,9.0,3.0765066,8.945264
14010000632661382,9.0,3.068485,8.795025
14010000632661420,2.0,2.6619406,7.7322164
14010000632661420,2.0,2.6912858,7.895011
14010000632661420,2.0,2.6729248,7.9834137
14010000632661420,2.0,2.7135968,8.029021
14010000632661420,4.0,2.8009908,8.010378
14010000632661420,5.0,2.7083435,7.8262568
14010000632661420,4.0,2.6646245,7.683413
14010000632661420,6.0,2.5639675,7.5225306
14010000632661420,8.0,2.5737274,7.5660415
14010000632661438,4.0,3.2811408,9.767262
14010000632661438,5.0,3.2977774,9.711694
14010000632661438,6.0,3.2943683,9.597215
14010000632661438,6.0,3.2114172,9.328808
14010000632661438,6.0,3.108944,9.108486
14010000632661438,6.0,3.0245264,9.026826
14010000632661438,6.0,2.9718797,8.829503
14010000632661438,8.0,2.9643838,8.499674
14010000632661438,8.0,2.948316,8.243293
14010000632661438,8.0,2.852676,7.785582
14010000632661438,9.0,2.637235,7.149117
14010000632661438,9.0,2.511769,6.876836
14010000632661438,9.0,2.5011117,6.9028783
